Id,Category
628949369883000832,positive
628976607420645377,positive
629023169169518592,neutral
629179223232479232,neutral
629186282179153920,positive
629226490152914944,neutral
629345637155360768,positive
629394528336637953,positive
629650766580609026,neutral
629797991826722816,neutral
630159517058142208,positive
630542330827771904,neutral
630636736746422272,neutral
630807124872970240,negative
630818265799921664,neutral
630909171437801472,neutral
630982270409572352,positive
631104156187627520,neutral
631223085476261890,neutral
631368262979297281,positive
631521079245307904,positive
631543121407442946,negative
631696872323850240,positive
631792365590695936,neutral
631842974268305408,positive
631843393971204097,positive
631936716522278912,neutral
632374683334258688,positive
632536348419690496,positive
632805868334153728,positive
632810315227467776,neutral
632949742750687232,neutral
632983468188696576,positive
633041928922132480,neutral
633119630417129476,positive
633500866096574464,neutral
633594289029808128,neutral
633628599271190528,neutral
633694793852407808,positive
633757225945665537,positive
634005885371711489,positive
634036617632546816,positive
634098901025484800,neutral
634107085647511553,positive
634169076210733056,positive
634299598467678208,neutral
634364883040006144,positive
634517732067778561,neutral
634633252020555781,positive
634657299680858113,neutral
634709942088409088,positive
634728738941456384,positive
634877877725569025,positive
634921865916452864,neutral
634926683284336640,positive
635528136743092224,positive
635658548265947136,positive
635795783099387904,positive
635914448121626624,positive
635976557098573825,neutral
636062553009987584,positive
636842896524726273,negative
636861074256592896,negative
636978321222467584,neutral
637025180687167488,positive
637308387353432064,neutral
637338158997180416,positive
637678387214065664,positive
637830987108343808,neutral
638219008542535680,positive
638268341052948480,positive
638390714502619136,neutral
638497802344091648,positive
638570993397682177,positive
638618791711084544,positive
638881767542263808,positive
638971652546543616,positive
639009525958352896,positive
639102028296376320,neutral
639160139820498944,positive
639352599288877056,neutral
639451183342596096,negative
639580199303016448,positive
639716079430967296,neutral
639820535917092864,positive
639902509566414848,positive
639935724033339393,neutral
640261386417897473,positive
640510504159584256,positive
640668469315403776,neutral
640736865499217920,neutral
640740939397492736,neutral
640871644844572672,positive
640987727492722688,positive
641024489870987264,positive
641295194583797765,neutral
641372287694823424,positive
641382034678661120,neutral
641626118949326848,positive
641666486793203712,positive
630871616575139840,positive
631201229075533825,positive
632260719245967360,positive
632266628600889344,positive
632293803072729089,positive
632358269168807936,positive
632362695602245632,positive
632393299282661378,neutral
632477400178233344,positive
632557193376587776,positive
632598549872672768,positive
632884348430237696,positive
633367771191971840,positive
633464854737633280,positive
633547870327717888,negative
633662951778557952,positive
633684233005895680,positive
633837726106841088,positive
634596962608672768,positive
634728000702021632,positive
634733114456166400,positive
634790760408350720,positive
634842103588233217,positive
634869623075303424,positive
634871374897643520,positive
634896402594836484,positive
